course,code,language,semester,ects,type,topic
Putting you in the Driver's Seat of Conflict Resolution,MINT-180,english,Autumn,3,elective,conflict
Qualitative Methods in Political Science,RISP-037,english,Autumn,6,elective,methods
"Religion, politique et sexualite: perspectives comparatives",ANSO-122,french,Autumn,6,elective,other
Research Methods in Anthropology and Sociology,ANSO-081,english,Autumn,6,compulsory,methods
Research Seminar on the International Law of Energy,DI-112,english,Autumn,6,elective,other
Screening the Israeli-Palestinian Conflict: Competing and Complementary Narratives through Cinematic Representations,ANSO-096,english,Autumn,6,elective,conflict
Social Choice,RISP-122,english,Autumn,6,elective,other
Social Innovation and Entrepreneurship: Bridging Theory and Practice,DE-154,english,Autumn,6,elective,theory
Social Networks: Theories and Methods,RISP-093,english,Autumn,6,elective,methods
Social Theory I: Classical and Contemporary Debates,ANSO-104,english,Autumn,6,compulsory,theory
Sociologie historique et comparee du politique,MINT-133,french,Autumn,6,elective,other
Sound and Image: Multimodal Methodologies for the 21st Century,ANSO-109,english,Autumn,3,elective,other
State-Building and War-Making in the Developing World,MINT-025,english,Autumn,6,elective,conflict
Statistical Methods for Social Sciences,MINT-015,english,Autumn,6,compulsory,methods
Statistics for International Relations Research I,RISP-038,english,Autumn,6,compulsory,other
Strategy Consulting in the Development Sector,MINT-1401,english,Autumn,3,workshop,NA
Strategy Consulting in the Development Sector,MINT-140,english,Autumn,3,workshop,NA
Sustainable Finance and Impact Investing,EI-104,english,Autumn,6,elective,sustainability
"Technology, Society and Decision-making",MINT-207,english,Autumn,6,elective,other
Territorial Disputes in International Law/Conflits Territoriaux en Droit International,DI-145,english,Autumn,6,elective,other
The Arab Israeli Conflict,MINT-104,english,Autumn,6,elective,conflict
The Economics and Political Economy of International Financial Policy,IA-107,english,Autumn,3,elective,finance
The Economics of International Trade,EI-057,english,Autumn,6,elective,trade
The Evolution of Global Security,MINT-113,english,Autumn,6,elective,other
The Foundations of International Law,DI-132,english,Autumn,6,elective,other
The Fuel of Globalisation: Transnational Histories of the Petroleum Century,HPI-138,english,Autumn,6,elective,other
The Global Health Governance,RISP-120,english,Autumn,6,elective,governance
The Politics of International Adjudication,MINT-173,english,Autumn,6,elective,other
The Statistics of Causal Inference,MINT-190,english,Autumn,3,elective,other
Theories and Theorists of International Relations,RISP-036,english,Autumn,6,elective,theory
TradeLab International Economic Law & Development Clinic,DI-152,english,Autumn,9,elective,trade
UN Peace Operations in a Changing World Order,RISP-115,english,Autumn,6,elective,other
Vilfredo Pareto Doctoral Research Seminar - Department Seminar Series,EI-079,english,Autumn,3,compulsory,other
"Violence, History and Memory in Twentieth-Century Africa",HI-062,english,Autumn,6,elective,other
Writing for International Policy Processes,MINT-1831,english,Autumn,3,workshop,NA
Writing for International Policy Processes,MINT-1832,english,Autumn,3,workshop,NA
