HAGR_ID,Organism_Family,Organism_Genus,Organism_Species,Organism_Common_Name,Female_Maturity_in_Days,Male_Maturity_in_Days,Maximum_Longevity_Years,Body_Mass_in_Grams,Temperature_in_Kelvin
1080,Threskiornithidae,Theristicus,caudatus,Buff-necked ibis,,,22,,
1081,Threskiornithidae,Theristicus,melanopis,Black-faced ibis,,,34.5,,
1082,Threskiornithidae,Threskiornis,aethiopicus,Sacred ibis,,,37,,
1083,Threskiornithidae,Threskiornis,melanocephalus,Black-headed ibis,,,28.2,,
1084,Threskiornithidae,Threskiornis,molucca,Australian ibis,,,33.2,,
1085,Threskiornithidae,Threskiornis,spinicollis,Straw-necked ibis,,,39.4,,
1086,Phaethontidae,Phaethon,aethereus,Red-billed tropicbird,,,17.6,,
1087,Phaethontidae,Phaethon,rubricauda,Red-tailed tropicbird,274,274,32.7,,
1088,Phoenicopteridae,Phoeniconaias,minor,Lesser flamingo,,,41,,
1089,Phoenicopteridae,Phoenicopterus,chilensis,Chilean flamingo,,,36.7,,
1090,Phoenicopteridae,Phoenicopterus,roseus,Greater flamingo,1825,1825,44,,
1091,Phoenicopteridae,Phoenicopterus,ruber,American flamingo,,,,,
1092,Picidae,Colaptes,auratus,Northern flicker,365,365,12.5,,
1093,Picidae,Dendrocopos,leucotos,White-backed woodpecker,,,15.9,,
1094,Picidae,Dendrocopos,major,Great spotted woodpecker,365,365,12.7,,
1095,Picidae,Dendrocopos,medius,Middle spotted woodpecker,365,365,8,,
1096,Picidae,Dendrocopos,minor,Lesser spotted woodpecker,365,365,9.8,,
1097,Picidae,Dendrocopos,syriacus,Syrian woodpecker,,,10.9,,
1098,Picidae,Dryocopus,martius,Black woodpecker,365,365,14,,
1099,Picidae,Dryocopus,pileatus,Pileated woodpecker,354,365,13,,
1100,Picidae,Jynx,torquilla,Eurasian wryneck,365,365,10,,
1101,Picidae,Melanerpes,aurifrons,Golden-fronted woodpecker,365,365,,,
1102,Picidae,Melanerpes,carolinus,Red-bellied woodpecker,365,365,20.7,,
1103,Picidae,Melanerpes,erythrocephalus,Red-headed woodpecker,365,365,10,,
1104,Picidae,Melanerpes,formicivorus,Acorn woodpecker,694,766,17.2,73,
1105,Picidae,Melanerpes,uropygialis,Gila woodpecker,,,11,,
1106,Picidae,Picoides,borealis,Red-cockaded woodpecker,240,240,16.1,,
1107,Picidae,Picoides,nuttallii,Nuttall's woodpecker,,,7.8,,
1108,Picidae,Picoides,pubescens,Downy woodpecker,365,365,11.9,21.7,
1109,Picidae,Picoides,scalaris,Ladder-backed woodpecker,365,365,,,
1110,Picidae,Picoides,tridactylus,Eurasian three-toed woodpecker and three-toed woodpecker,,,11.2,,
1111,Picidae,Picoides,villosus,Hairy woodpecker,365,365,15.9,,
1112,Picidae,Picus,canus,Grey-faced woodpecker and grey-headed woodpecker,,,,,
1113,Picidae,Picus,viridis,Eurasian green woodpecker,365,365,15.2,,
1114,Picidae,Sphyrapicus,nuchalis,Red-naped sapsucker,,,4.9,,
1115,Picidae,Sphyrapicus,ruber,Red-breasted sapsucker,,,4.8,,
1116,Picidae,Sphyrapicus,varius,Yellow-bellied sapsucker,365,365,7.8,,
1117,Ramphastidae,Ramphastos,toco,Toco toucan,,,16.2,,
1118,Podicipedidae,Aechmophorus,occidentalis,Western grebe,365,365,14,,
1119,Podicipedidae,Podiceps,auritus,Horned grebe,365,365,,,
1120,Podicipedidae,Podiceps,cristatus,Great crested grebe,730,730,19.2,,
1121,Podicipedidae,Podiceps,grisegena,Red-necked grebe,365,365,11,,
1122,Podicipedidae,Podiceps,nigricollis,Eared grebe,730,730,13.1,,
1123,Podicipedidae,Podilymbus,podiceps,Pied-billed grebe,365,365,,,
1124,Podicipedidae,Tachybaptus,ruficollis,Little grebe,365,365,17.5,,
1125,Diomedeidae,Diomedea,epomophora,Royal albatross,,,58,,
1126,Diomedeidae,Diomedea,exulans,Wandering albatross,,,50,8130,
1127,Diomedeidae,Phoebastria,albatrus,Short-tailed albatross,,,,,
1128,Diomedeidae,Phoebastria,immutabilis,Laysan albatross,3141,3068,65,2522,
1129,Diomedeidae,Phoebastria,irrorata,Waved albatross,,,40,,
1130,Diomedeidae,Phoebastria,nigripes,Black-footed albatross,1825,1825,42.1,,
1131,Diomedeidae,Thalassarche,chlororhynchos,Yellow-nosed albatross,,,37,,
1132,Diomedeidae,Thalassarche,chrysostoma,Grey-headed albatross,,,47.2,3753,
1133,Diomedeidae,Thalassarche,melanophris,Black-browed albatross,,,43.7,,
1134,Hydrobatidae,Hydrobates,pelagicus,European storm petrel,1095,1095,33.8,,
1135,Hydrobatidae,Oceanodroma,castro,Harcourt's storm petrel,1826,1826,36,,
1136,Hydrobatidae,Oceanodroma,furcata,Fork-tailed storm petrel,1095,1095,18,,
1137,Hydrobatidae,Oceanodroma,homochroa,Ashy storm-petrel,,,31,,
1138,Hydrobatidae,Oceanodroma,leucorhoa,Leach's storm petrel,1826,1826,36,,
1139,Hydrobatidae,Oceanodroma,tristrami,Sooty storm petrel,1825,1825,,,
1140,Procellariidae,Bulweria,bulwerii,Bulwer's petrel,1461,1461,22.9,87,
1141,Procellariidae,Calonectris,diomedea,Cory's shearwater,1095,1095,24.8,,
1142,Procellariidae,Daption,capense,Cape petrel,,,25,,
1143,Procellariidae,Fulmarus,glacialis,Northern fulmar,2200,2200,51,,
1144,Procellariidae,Fulmarus,glacialoides,Southern fulmar,,,45,,
1145,Procellariidae,Macronectes,giganteus,Southern giant petrel,,,47,,
1146,Procellariidae,Pagodroma,nivea,Snow petrel,,,46,,
1147,Procellariidae,Procellaria,parkinsoni,Black petrel,,,17,,
1148,Procellariidae,Pterodroma,alba,Phoenix petrel,,,11.3,,
1149,Procellariidae,Pterodroma,hypoleuca,Bonin Island petrel,,,30.8,,
1150,Procellariidae,Pterodroma,leucoptera,Gould's petrel,,,20,,
1151,Procellariidae,Pterodroma,phaeopygia,Darked-rump petrel,,,,,
1152,Procellariidae,Pterodroma,sandwichensis,Hawaiian petrel,,,13.1,,
1153,Procellariidae,Puffinus,carneipes,Flesh-footed shearwater,,,30.2,,
1154,Procellariidae,Puffinus,griseus,Sooty shearwater,,,34,,
1155,Procellariidae,Puffinus,lherminieri,Audobon's shearwater,,,,,
1156,Procellariidae,Puffinus,mauretanicus,Balearic shearwater,,,,,
1157,Procellariidae,Puffinus,nativitatis,Christmas Island shearwater,1461,1461,,307.6,
1158,Procellariidae,Puffinus,pacificus,Wedge-tailed shearwater,1461,1461,29,,
1159,Procellariidae,Puffinus,puffinus,Manx shearwater,1825,1643,50.9,,
1160,Procellariidae,Puffinus,tenuirostris,Short-tailed shearwater,,,39.9,,
1162,Psittacidae,Agapornis,fischeri,Fischer's lovebird,,,12.6,,
1163,Psittacidae,Agapornis,lilianae,Nyasa loverbird,,,19.2,,
1164,Psittacidae,Agapornis,pullarius,Red-headed lovebird,,,18,,
1165,Psittacidae,Agapornis,roseicollis,Rosy-faced lovebird,150,150,,,
1166,Psittacidae,Agapornis,taranta,Black-winged lovebird,,,14.6,,
1167,Psittacidae,Alisterus,scapularis,Australian king parrot,,,26.6,,
1168,Psittacidae,Amazona,aestiva,Blue-fronted amazon,,,49,,
1169,Psittacidae,Amazona,albifrons,White-fronted parrot,,,25.3,,
1170,Psittacidae,Amazona,amazonica,Orange-winged amazon,,,30,,
1171,Psittacidae,Amazona,auropalliata,Yellow-naped parrot,,,49,,
1172,Psittacidae,Amazona,autumnalis,Red-lored parrot,,,27,,
1173,Psittacidae,Amazona,barbadensis,Yellow-shouldered amazon,,,,,
1174,Psittacidae,Amazona,farinosa,Mealy parrot,,,,,
1175,Psittacidae,Amazona,festiva,Festive amazon,,,24.5,,
1176,Psittacidae,Amazona,finschi,Lilac-crowned parrot,,,25.8,,
1177,Psittacidae,Amazona,guildingii,St. Vincent parrot,,,28,,
1178,Psittacidae,Amazona,leucocephala,Cuban parrot,,,,,
1179,Psittacidae,Amazona,ochrocephala,Yellow-crowned parrot,,,56,,
1180,Psittacidae,Amazona,oratrix,Yellow-headed parrot,,,,,
1181,Psittacidae,Amazona,rhodocorytha,Red-browed parrot,,,44,,
1182,Psittacidae,Amazona,versicolor,St. Lucia amazon,,,,,
1183,Psittacidae,Amazona,viridigenalis,Red-crowned parrot,,,,,
1184,Psittacidae,Amazona,vittata,Puerto Rican amazon,,,,,
1185,Psittacidae,Anodorhynchus,glaucus,Glaucous macaw,,,,,
1186,Psittacidae,Anodorhynchus,hyacinthinus,Hyacinth macaw,,,38.8,,
1187,Psittacidae,Anodorhynchus,leari,Lear's macaw,,,38.3,,
1188,Psittacidae,Aprosmictus,erythropterus,Red-winged parrot,,,24.4,,
1189,Psittacidae,Ara,ambiguus,Great green macaw,,,29,,
1190,Psittacidae,Ara,ararauna,Blue-and-yellow macaw,,,43,,
1191,Psittacidae,Ara,chloropterus,Red-and-green macaw,,,50.1,,
1192,Psittacidae,Ara,glaucogularis,Blue-throated macaw,,,22,,
1193,Psittacidae,Ara,macao,Scarlet macaw,,,33,,
1194,Psittacidae,Ara,militaris,Military macaw,,,46,,
1195,Psittacidae,Ara,rubrogenys,Red-fronted macaw,,,23,,
1196,Psittacidae,Ara,severus,Chestnut-fronted macaw,,,28.5,,
1197,Psittacidae,Aratinga,acuticaudata,Blue-crowned parakeet,,,31,,
1198,Psittacidae,Aratinga,auricapillus,Golden-capped parakeet,,,20.9,,
1199,Psittacidae,Aratinga,canicularis,Orange-fronted parakeet,,,16.2,,
1200,Psittacidae,Aratinga,chloroptera,Hispaniolan parakeet,,,,,
1201,Psittacidae,Aratinga,erythrogenys,Red-masked parakeet,,,26.2,,
1202,Psittacidae,Aratinga,holochlora,Green parakeet,,,21.8,,
1203,Psittacidae,Barnardius,zonarius,Port Lincoln ringneck,,,17.9,137,
1204,Psittacidae,Bolborhynchus,orbygnesius,Andean parakeet,,,9.2,,
1205,Psittacidae,Brotogeris,chiriri,Yellow-chevroned parakeet,,,19,,
1206,Psittacidae,Brotogeris,pyrrhoptera,Grey-cheeked parakeet,,,11.3,,
1207,Psittacidae,Brotogeris,sanctithomae,Tui parakeet,,,13.2,,
1208,Psittacidae,Brotogeris,tirica,Plain parakeet,,,11,,
1209,Psittacidae,Brotogeris,versicolurus,Canary-winged parakeet,730,730,10.3,,
1210,Psittacidae,Cacatua,alba,White cockatoo,2000,2000,26.9,,
1211,Psittacidae,Cacatua,ducorpsii,Ducorps's cockatoo,,,30.5,,
1212,Psittacidae,Cacatua,galerita,Sulphur-crested cockatoo,,,57,776.1,
1213,Psittacidae,Cacatua,goffiniana,Tanimbar cockatoo,,,26,,
1214,Psittacidae,Cacatua,haematuropygia,Philippine cockatoo,,,17.3,,
1215,Psittacidae,Cacatua,leadbeateri,Pink cockatoo,,,83,,
1216,Psittacidae,Cacatua,moluccensis,Salmon-crested cockatoo,,,65.8,,
1217,Psittacidae,Cacatua,ophthalmica,Blue-eyed cockatoo,,,31.9,,
1218,Psittacidae,Cacatua,pastinator,Western corella,,,26.3,,
1219,Psittacidae,Cacatua,sanguinea,Little corella,,,46.9,,
1220,Psittacidae,Cacatua,sulphurea,Yellow-crested cockatoo,,,49.7,,
1221,Psittacidae,Cacatua,tenuirostris,Long-billed corella,,,43,,
1222,Psittacidae,Callocephalon,fimbriatum,Gang-gang cockatoo,,,27.5,,
1223,Psittacidae,Calyptorhynchus,banksii,Banksian cockatoo,,,45.4,,
1224,Psittacidae,Calyptorhynchus,baudinii,Long-billed black cockatoo,,,47,,
1225,Psittacidae,Calyptorhynchus,funereus,Yellow-tailed black cockatoo,,,41,,
1226,Psittacidae,Calyptorhynchus,lathami,Glossy black cockatoo,,,,,
1227,Psittacidae,Chalcopsitta,atra,Black lory,,,17.5,,
1228,Psittacidae,Chalcopsitta,sintillata,Yellow-streaked lory,,,19.7,,
1229,Psittacidae,Charmosyna,papou,Papuan lorikeet,,,11.3,,
1230,Psittacidae,Conuropsis,carolinensis,Carolina parakeet,,,30,,
1231,Psittacidae,Coracopsis,nigra,Black parrot,,,34.1,,
1232,Psittacidae,Coracopsis,vasa,Vasa parrot,,,53.9,,
1233,Psittacidae,Cyanoliseus,patagonus,Patagonian conure,,,19.5,,
1234,Psittacidae,Cyanopsitta,spixii,Spix's macaw,,,27,,
1235,Psittacidae,Cyanoramphus,auriceps,Yellow-fronted parakeet,,,9.3,,
1236,Psittacidae,Cyanoramphus,novaezelandiae,Red-fronted parakeet,,,12.4,,
1237,Psittacidae,Deroptyus,accipitrinus,Red-fan parrot,,,21.8,,
1238,Psittacidae,Diopsittaca,nobilis,Red-shouldered macaw,,,22.9,,
1239,Psittacidae,Eclectus,roratus,Eclectus parrot,,,28.5,,
1240,Psittacidae,Enicognathus,leptorhynchus,Slender-billed parakeet,,,15.3,,
1241,Psittacidae,Eolophus,roseicapilla,Galah,,,40,268.7,
1242,Psittacidae,Eos,bornea,Red lory,,,24.7,,
1243,Psittacidae,Eos,cyanogenia,Black-winged lory,,,18.1,,
1244,Psittacidae,Eos,histrio,Red-and-blue lory,,,15.2,,
1245,Psittacidae,Eos,reticulata,Blue-streaked lory,,,16.6,,
1246,Psittacidae,Eos,squamata,Violet-necked lory,,,16.5,,
1247,Psittacidae,Eunymphicus,cornutus,Horned parakeet,,,19.7,,
1248,Psittacidae,Forpus,coelestis,Pacific parrotlet,,,10.4,,
1249,Psittacidae,Forpus,cyanopygius,Mexican parrotlet,,,10.5,,
1250,Psittacidae,Forpus,passerinus,Green-rumped parrotlet,,,11.6,,
1251,Psittacidae,Forpus,xanthops,Yellow-faced parrotlet,,,10.5,,
1252,Psittacidae,Glossopsitta,concinna,Musk lorikeet,,,11.5,,
1253,Psittacidae,Glossopsitta,porphyrocephala,Purple-crowned lorikeet,,,12,,
1254,Psittacidae,Graydidascalus,brachyurus,Short-tailed parrot,,,13.2,,
1255,Psittacidae,Guaruba,guarouba,Golden conure,,,23.2,,
1256,Psittacidae,Loriculus,galgulus,Blue-crowned hanging parrot,,,14.3,,
1257,Psittacidae,Loriculus,philippensis,Colasisi,,,10.1,,
1258,Psittacidae,Loriculus,vernalis,Vernal hanging parrot,,,10.1,,
1259,Psittacidae,Lorius,domicella,Purple-naped lory,,,26,,
1260,Psittacidae,Lorius,garrulus,Chattering lory,,,26.6,,
1261,Psittacidae,Lorius,lory,Black-capped lory,,,18.5,,
1262,Psittacidae,Melopsittacus,undulatus,Budgerigar,180,180,21,25.2,314.15
1263,Psittacidae,Myiopsitta,monachus,Monk parakeet,730,730,22.1,80.4,
1264,Psittacidae,Nandayus,nenday,Nanday parakeet,,,18.7,,
1265,Psittacidae,Neophema,chrysostoma,Blue-winged parrot,,,21,,
1266,Psittacidae,Neophema,pulchella,Turquoise parrot,,,21,,
1267,Psittacidae,Neophema,splendida,Scarlet-chested parrot,,,14,,
1268,Psittacidae,Neopsephotus,bourkii,Bourke's parrot,,,12.6,,
1269,Psittacidae,Nestor,meridionalis,Kaka,,,,,
1270,Psittacidae,Nestor,notabilis,Kea,,,47,,
1271,Psittacidae,Northiella,haematogaster,Bluebonnet,,,15.3,,
1272,Psittacidae,Nymphicus,hollandicus,Cockatiel,,,35,,
1273,Psittacidae,Phigys,solitarius,Collared lory,,,,,
1274,Psittacidae,Pionites,leucogaster,White-bellied parrot,,,26,,
1275,Psittacidae,Pionites,melanocephalus,Black-headed parrot,,,22.6,,
1276,Psittacidae,Pionopsitta,pileata,Pileated parrot,,,16.8,,
1277,Psittacidae,Pionus,maximiliani,Scaly-headed parrot,,,16.2,,
1278,Psittacidae,Pionus,menstruus,Blue-headed parrot,,,20.6,,
1279,Psittacidae,Platycercus,elegans,Crimson rosella,,,26.8,,
1280,Psittacidae,Platycercus,eximius,Eastern rosella,,,27.4,,
1281,Psittacidae,Platycercus,icterotis,Western rosella,,,13.2,,
1282,Psittacidae,Platycercus,venustus,Northern rosella,,,19.1,,
1283,Psittacidae,Poicephalus,cryptoxanthus,Brown-headed parrot,,,32.1,,
1284,Psittacidae,Poicephalus,gulielmi,Red-fronted parrot,,,21,,
1285,Psittacidae,Poicephalus,meyeri,Brown parrot,,,34.2,,
1286,Psittacidae,Poicephalus,robustus,Brown-necked parrot,,,29.7,,
1287,Psittacidae,Poicephalus,rueppellii,Ruppel's parrot,,,34.3,,
1288,Psittacidae,Poicephalus,rufiventris,Red-bellied parrot,,,33.4,,
1289,Psittacidae,Poicephalus,senegalus,Senegal parrot,,,40,,
1290,Psittacidae,Polytelis,alexandrae,Alexandra's parrot,,,23.9,,
1291,Psittacidae,Polytelis,anthopeplus,Regent parrot,,,13.8,,
1292,Psittacidae,Polytelis,swainsonii,Superb parrot,,,15.1,,
1293,Psittacidae,Primolius,maracana,Blue-winged macaw,,,31,,
1294,Psittacidae,Probosciger,aterrimus,Palm cockatoo,,,56.3,,
1295,Psittacidae,Prosopeia,personata,Masked shining parrot,,,11.8,,
1296,Psittacidae,Prosopeia,splendens,Crimson shining parrot,,,20.1,,
1297,Psittacidae,Prosopeia,tabuensis,Red shining parrot,,,,,
1298,Psittacidae,Psephotus,dissimilis,Hooded parrot,,,18,,
1299,Psittacidae,Psephotus,haematonotus,Red-rumped parrot,,,12.2,,
1300,Psittacidae,Psephotus,varius,Mulga parrot,,,11.8,,
1301,Psittacidae,Pseudeos,fuscata,Dusky lory,,,13.4,,
1302,Psittacidae,Psilopsiagon,aymara,Grey-hooded parakeet,,,8.5,,
1303,Psittacidae,Psittacula,alexandri,Red-breasted parakeet,,,23.3,,
1304,Psittacidae,Psittacula,calthropae,Layard's parakeet,,,14,,
1305,Psittacidae,Psittacula,columboides,Malabar parakeet,,,,,
1306,Psittacidae,Psittacula,cyanocephala,Plum-headed parakeet,,,18.8,,
1307,Psittacidae,Psittacula,eupatria,Alexandrine parakeet,,,30,,
1308,Psittacidae,Psittacula,krameri,Rose-ringed parakeet,,,34,,
1309,Psittacidae,Psittaculirostris,desmarestii,Large fig parrot,,,14.9,,
1310,Psittacidae,Psittaculirostris,edwardsii,Edward's fig parrot,,,12,,
1311,Psittacidae,Psittaculirostris,salvadorii,Salvadori's fig parrot,,,12,,
1312,Psittacidae,Psittacus,erithacus,Grey parrot,,,49.7,,
1313,Psittacidae,Psitteuteles,goldiei,Goldie's lorikeet,,,,,
1314,Psittacidae,Psitteuteles,iris,Iris lorikeet,,,24.1,,
1315,Psittacidae,Psittinus,cyanurus,Blue-rumped parrot,,,10.2,,
1316,Psittacidae,Psittrichas,fulgidus,Pesquet's parrot,,,25,,
1317,Psittacidae,Purpureicephalus,spurius,Red-capped parrot,,,15.3,,
1318,Psittacidae,Pyrrhura,leucotis,White-eared conure,,,18.5,,
1319,Psittacidae,Pyrrhura,perlata,Crimson-bellied parakeet,,,14.3,,
1320,Psittacidae,Rhynchopsitta,pachyrhyncha,Thick-billed parrot,730,730,33,,
1321,Psittacidae,Strigops,habroptila,Kakapo,3650,1825,60,,
1322,Psittacidae,Tanygnathus,megalorynchos,Great-billed parrot,,,23,,
1323,Psittacidae,Tanygnathus,sumatranus,Blue-backed parrot,,,14.4,,
1324,Psittacidae,Trichoglossus,euteles,Olive-headed lorikeet,,,16,,
1325,Psittacidae,Trichoglossus,haematodus,Rainbow lorikeet,,,16.1,,
1326,Psittacidae,Trichoglossus,johnstoniae,Mindanao lorikeet,,,17.8,,
1327,Psittacidae,Trichoglossus,ornatus,Ornate lorikeet,,,19.4,,
1328,Psittacidae,Triclaria,malachitacea,Blue-bellied parrot,,,11.9,,
1329,Psittacidae,Vini,australis,Blue-crowned lorikeet,,,13.6,,
1330,Psittacidae,Vini,peruviana,Blue lorikeet,,,18.4,,
1331,Rheidae,Rhea,americana,Greater rhea,426,426,,,
1332,Spheniscidae,Aptenodytes,forsteri,Emperor penguin,1825,2007,,,
1333,Spheniscidae,Aptenodytes,patagonicus,King penguin,,,26,13270,
1334,Spheniscidae,Eudyptula,minor,Little penguin,,,25.6,,
1335,Spheniscidae,Pygoscelis,papua,Gentoo penguin,730,730,,,
1336,Spheniscidae,Spheniscus,demersus,Jackass penguin,,,27.3,,
1337,Spheniscidae,Spheniscus,humboldti,Humboldt penguin,,,,,
1338,Spheniscidae,Spheniscus,magellanicus,Magellanic penguin,1040,1040,30,,
1339,Strigidae,Aegolius,acadicus,Northern saw-whet owl,365,365,17.5,124,
1340,Strigidae,Aegolius,funereus,Boreal owl,365,365,15.9,,
1341,Strigidae,Asio,flammeus,Short-eared owl,365,365,21.8,,
1342,Strigidae,Asio,otus,Long-eared owl,365,365,27.8,252,
1343,Strigidae,Athene,cunicularia,Burrowing owl,365,365,11,,
1344,Strigidae,Athene,noctua,Little owl,365,365,11.1,,
1345,Strigidae,Bubo,bubo,Eurasian eagle-owl,730,730,68,,
1346,Strigidae,Bubo,scandiacus,Snowy owl,730,730,28,2026,
1347,Strigidae,Bubo,virginianus,Great horned owl,730,730,29,1450,
1348,Strigidae,Glaucidium,passerinum,Eurasian pygmy-owl,365,365,6,,
1349,Strigidae,Megascops,asio,Eastern screech-owl,365,365,20.7,166,
1350,Strigidae,Megascops,kennicottii,Western screech-owl,365,365,19,,
1351,Strigidae,Micrathene,whitneyi,Elf owl,365,,14,45.9,
1352,Strigidae,Otus,flammeolus,Flammulated owl,365,365,8.1,,
1353,Strigidae,Otus,scops,Common or Eurasian scops-owl,365,365,6.8,,
1354,Strigidae,Pulsatrix,perspicillata,Spectacled owl,,,25,,
1355,Strigidae,Strix,aluco,Tawny owl,365,365,22.4,,
1356,Strigidae,Strix,nebulosa,Great grey owl,365,365,15.9,,
1357,Strigidae,Strix,occidentalis,Spotted owl,365,365,25,571,
1358,Strigidae,Strix,uralensis,Ural owl,365,365,23.8,,
1359,Strigidae,Strix,varia,Barred owl,730,730,24,,
1360,Strigidae,Surnia,ulula,Northern hawk-owl,,,16.2,,
1361,Tytonidae,Tyto,alba,Barn owl,365,365,34,,
1362,Struthionidae,Struthio,camelus,Ostrich,,,50,100000,
1363,Anhingidae,Anhinga,anhinga,Anhinga,730,730,16.4,1040,
1364,Anhingidae,Anhinga,melanogaster,Darter,,,16,,
1365,Fregatidae,Fregata,andrewsi,Christmas Island frigatebird,,,25.6,,
1366,Fregatidae,Fregata,ariel,Lesser frigatebird,,,27.6,,
1367,Fregatidae,Fregata,magnificens,Magnificent frigatebird,1826,1826,34,,
1368,Fregatidae,Fregata,minor,Great frigatebird,1826,1826,43,,
1369,Phalacrocoracidae,Phalacrocorax,aristotelis,European shag,1095,1095,30.6,,
1370,Phalacrocoracidae,Phalacrocorax,auritus,Double-crested cormorant,730,730,22.5,1330,
1371,Phalacrocoracidae,Phalacrocorax,brasilianus,Neotropic cormorant,365,365,12.6,,
1372,Phalacrocoracidae,Phalacrocorax,carbo,Great cormorant,1460,1460,27.2,,
1373,Phalacrocoracidae,Phalacrocorax,pelagicus,Pelagic cormorant,730,730,17.8,,
1374,Phalacrocoracidae,Phalacrocorax,penicillatus,Brandt's cormorant,730,730,18,,
1375,Sulidae,Morus,bassanus,Northern gannet,730,1095,37.4,,
1376,Sulidae,Morus,serrator,Australasian gannet,,,33,,
1377,Sulidae,Sula,dactylatra,Masked booby,1461,1461,25.5,1289,
1378,Sulidae,Sula,granti,Nazca booby,,,21,,
1379,Sulidae,Sula,leucogaster,Brown booby,1278,1278,27.2,,
1380,Sulidae,Sula,nebouxii,Blue-footed booby,,,18,,
1381,Sulidae,Sula,sula,Red-footed booby,730,730,23,,
1382,Tinamidae,Tinamus,solitarius,Solitary tinamou,,,15,,
1384,Petromyzontidae,Caspiomyzon,wagneri,Volga lamprey,,,4,,
1385,Petromyzontidae,Entosphenus,tridentatus,Pacific lamprey,,,9,,
1386,Petromyzontidae,Eudontomyzon,danfordi,Carpathian lamprey,,,8,,
1387,Petromyzontidae,Eudontomyzon,mariae,Ukrainian brook lamprey,,,8,,
1388,Petromyzontidae,Ichthyomyzon,castaneus,Chestnut lamprey,,,8,,
1389,Petromyzontidae,Ichthyomyzon,greeleyi,Mountain brook lamprey,,,6,,
1390,Petromyzontidae,Ichthyomyzon,unicuspis,Silver lamprey,,,8,,
1391,Petromyzontidae,Lampetra,aepyptera,Least brook lamprey,,,8,,
1392,Petromyzontidae,Lampetra,fluviatilis,European river lamprey,2250,2250,10,,
1393,Petromyzontidae,Lampetra,planeri,European brook lamprey,1916,1916,7,,
1394,Petromyzontidae,Lethenteron,appendix,American brook lamprey,,,5,,
1395,Petromyzontidae,Lethenteron,camtschaticum,Arctic lamprey,1642,1642,7,,
1396,Petromyzontidae,Lethenteron,kessleri,Siberian brook lamprey,,,7,,
1397,Petromyzontidae,Lethenteron,reissneri,Far eastern brook lamprey,,,4,,
1398,Petromyzontidae,Lethenteron,zanandreai,Po brook lamprey,1916,1916,6,,
1399,Petromyzontidae,Petromyzon,marinus,Sea lamprey,3193,3193,9,,
1401,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark,1369,1003,19,,
1402,Carcharhinidae,Carcharhinus,amblyrhynchos,Grey reef shark,2190,,25,,
1403,Carcharhinidae,Carcharhinus,brachyurus,Copper shark,7610,5840,34.5,,
1404,Carcharhinidae,Carcharhinus,brevipinna,Spinner shark,3285,,19,,
1405,Carcharhinidae,Carcharhinus,cautus,Nervous shark,2190,,16.4,,
1406,Carcharhinidae,Carcharhinus,falciformis,Silky shark,2920,2646,23,,
1407,Carcharhinidae,Carcharhinus,galapagensis,Galapagos shark,2829,2555,24,,
1408,Carcharhinidae,Carcharhinus,isodon,Finetooth shark,1570,1423,8,,
1409,Carcharhinidae,Carcharhinus,leucas,Bull shark,6570,6296,32,,
1410,Carcharhinidae,Carcharhinus,limbatus,Blacktip shark,2555,,12,,
1411,Carcharhinidae,Carcharhinus,longimanus,Oceanic whitetip shark,1825,,22,,
1412,Carcharhinidae,Carcharhinus,obscurus,Dusky shark,7482,7391,35,,
1413,Carcharhinidae,Carcharhinus,plumbeus,Sandbar shark,5110,5231,32,,
1414,Carcharhinidae,Carcharhinus,porosus,Smalltail shark,2190,2190,24,,
1415,Carcharhinidae,Carcharhinus,signatus,Night shark,3650,,31.7,,
1416,Carcharhinidae,Carcharhinus,sorrah,Spot-tail shark,912,,8,,
1417,Carcharhinidae,Carcharhinus,tilstoni,Australian blacktip shark,1277,1277,12,,
1418,Carcharhinidae,Galeocerdo,cuvier,Tiger shark,2555,1825,50,,
1419,Carcharhinidae,Negaprion,brevirostris,Lemon shark,4636,,20,,
1420,Carcharhinidae,Prionace,glauca,Blue shark,2190,,20,,
1421,Carcharhinidae,Rhizoprionodon,acutus,Milk shark,,,8,,
1422,Carcharhinidae,Rhizoprionodon,taylori,Australian sharpnose shark,365,,7,,
1423,Carcharhinidae,Rhizoprionodon,terraenovae,Atlantic sharpnose shark,948,803,10.2,,
1424,Carcharhinidae,Scoliodon,laticaudus,Spadenose shark,,,6,,
1425,Carcharhinidae,Triaenodon,obesus,Whitetip reef shark,2920,,25,,
1426,Scyliorhinidae,Scyliorhinus,canicula,Small-spotted catshark,2791,1642,12,,
1427,Scyliorhinidae,Scyliorhinus,stellaris,Nursehound,,,19,,
1428,Sphyrnidae,Sphyrna,lewini,Scalloped hammerhead,1460,1387,35,,
1429,Sphyrnidae,Sphyrna,tiburo,Bonnethead shark,1058,857,6.5,,
1430,Triakidae,Furgaleus,macki,Whiskery skark,2372,1642,11.5,,
1431,Triakidae,Galeorhinus,galeus,Tope shark,4615,,55,,
1432,Triakidae,Hemitriakis,japanica,Japanese topeshark,,,15,,
1433,Triakidae,Mustelus,antarcticus,Gummy shark,2336,1715,16,,
1434,Triakidae,Mustelus,californicus,Gray smoothhound,766,584,9,,
1435,Triakidae,Mustelus,canis,Dusky smooth-hound,1606,748,16,,
1436,Triakidae,Mustelus,griseus,Spotless smooth-hound,2062,2190,9,,
